Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2004,5,1,michael_schumacher,Michael,Schumacher,German,50
2004,5,2,barrichello,Rubens,Barrichello,Brazilian,32
2004,5,3,button,Jenson,Button,British,24
2004,5,4,alonso,Fernando,Alonso,Spanish,21
2004,5,5,trulli,Jarno,Trulli,Italian,21
2004,5,6,montoya,Juan,Pablo Montoya,Colombian,18
2004,5,7,ralf_schumacher,Ralf,Schumacher,German,12
2004,5,8,sato,Takuma,Sato,Japanese,8
2004,5,9,coulthard,David,Coulthard,British,4
2004,5,10,fisichella,Giancarlo,Fisichella,Italian,2
2004,5,11,massa,Felipe,Massa,Brazilian,1
2004,5,12,raikkonen,Kimi,Räikkönen,Finnish,1
2004,5,13,webber,Mark,Webber,Australian,1
2004,5,14,matta,Cristiano,da Matta,Brazilian,0
2004,5,15,panis,Olivier,Panis,French,0
2004,5,16,klien,Christian,Klien,Austrian,0
2004,5,17,pantano,Giorgio,Pantano,Italian,0
2004,5,18,bruni,Gianmaria,Bruni,Italian,0
2004,5,19,baumgartner,Zsolt,Baumgartner,Hungarian,0
2004,5,20,heidfeld,Nick,Heidfeld,German,0
